1,Uniwell Systems,,,,,,,,,,,,","
2,VIDECON,,,HIGH STREET,,HECKMONDWIKE,W YORKS WF16 OAD,,(01924) 528006 Ext,,(01924) 528005 Ext,,
3,Norbain,,,,,,,,,,,,
4,Epos Systems,,,,,,,,,,,,
5,PALM TEQ,,,,,,,,,,,,
6,Trident Infotec,,,,,,,,,,,,
7,Powervar,,,Unit 5 Birch,Kembrey Park,Swindon,,,(01793) 553980 Ext,,,,
8,CHECKOUT,,,Checkout House,Houghton Hall Business pk,Houghton Regis,Dunstable,,,,,,
9,Thyron,,,,,,,,,,,,
10,EPSON,,,,,,,,,,,,
11,CITIZEN,,,,,,,,,,,,
12,A.V.I,,,,,,,,,,,,
13,orient,,,,,,,,,,,,
14,YES PAY LTD,,,,,,,,,,,,
16,synergix,,285605,Unit 3 The Sapphire Centre,Fishponds Road,Wokingham,Berkshire,RG41 2QL,(0845 ) 3450992 Ext,,(0118 ) 9892187 Ext,sales@synergix.co.uk,www.synergix.co.uk
17,eclipse,,,,,,,,,,,,
18,Toledo,,,,,,,,,,,,
19,Fidelity,,,410 Wincolmlee,,Hull,HU2 0TA,,(0) 14825853 Ext 43,,(01482) 226396 Ext,,
20,Connexus,,,Unit 9-10,Hassocks Wood Ind Est,Stroudley Road,Basingstoke Hampshire,RG24 8UQ,,,,,
21,Posline,,,,,,,,,,,,
22,Samsung,,,,,,,,,,,,
23,Box Technology,,,,,,,,,,,,
24,Asis,,,,,Swansea,,,,,,,
25,METTLER TOLEDO VIVA,,,,,,,,,,,,
26,TOSHIBA,,,,,,,,,,,,
27,GPOS,,,,,,,,,,,,
28,VERIFONE,,,,,,,,,,,,
29,FREELINE,,,,,,,,,,,,
30,PUREPOS,,,,,,,,,,,,
31,FLEXPOS,,,,,,,,,,,,
32,DIGIPOS,,,,,,,,,,,,
33,RIVA,,,,,,,,,,,,
34,ELIOS,,,,,,,,,,,,
35,ORBIT,,,,,,,,,,,,
36,ACER,,,,,,,,,,,,
37,LENOVO,,,,,,,,,,,,
38,OPTICON,,,,,,,,,,,,
39,SEAGUL,,,,,,,,,,,,
40,FUJITSU,,,,,,,,,,,,
41,COMMIDEA,,,,,,,,,,,,
42,HOBART,,,,,,,,,,,,
43,SHARP,,,,,,,,,,,,
44,EPOS DISTRIBUTION,,,,,,,,,,,,
45,VIOLA,,,,,,,,,,,,
46,POSIFLEX,,,,,,,,,,,,
47,GELLER,,,,,,,,,,,,
48,ODYSSE,,,,,,,,,,,,
49,TMS,,,,,,,,,,,,
50,ORDERMAN,,,,,,,,,,,,
51,EPOSPROX,,,,,,,,,,,,
52,MEGAPOS,,,,,,,,,,,,
53,OPTICAL,,,,,,,,,,,,
54,OPTICAL,,,,,,,,,,,,
55,ICR,,,,,,,,,,,,
56,VARIPOS,,,,,,,,,,,,
57,TOUCH TERMINALS,,,,,,,,,,,,
58,HANS G,,,,,,,,,,,,
59,PARTNER,,,,,,,,,,,,
60,PAR,,,,,,,,,,,,
61,VERYPOS,,,,,,,,,,,,
62,USD,,,,,,,,,,,,
63,FTP,,,,,,,,,,,,
64,VIEW SONIC,,,,,,,,,,,,
65,MAXATEL,,,,,,,,,,,,
66,PANASONIC,,,,,,,,,,,,
67,SUELO,,,,,,,,,,,,
68,METROLOGIC,,,,,,,,,,,,
15,AURES technologies LTD,,,Unit 2 Chandlers Court,Picow Farm Road,Runcorn,Cheshire  WA7 4UH,,(01928)  591222 Ext,,(0192) 8591333,,www.aures.com
69,HONEYWELL,,,,,,,,,,,,
70,EAGLE TECHNOLOGIES,,,,,,,,,,,,
71,IBM,,,,,,,,,,,,
72,ALWYN,,,,,,,,,,,,
73,ALWYN,,,,,,,,,,,,
74,SCANGLE,,,,,,,,,,,,
75,AMICA,,,,,,,,,,,,
76,CLIENTROW,,,,,,,,,,,,
77,AOC,,,,,,,,,,,,
78,CLIETRON,,,,,,,,,,,,
79,MONITOR,,,,,,,,,,,,
80,FCO,,,,,,,,,,,,
81,CAS,,,,,,,,,,,,
82,EBN,,,,,,,,,,,,
83,CLIENT POS,,,,,,,,,,,,
84,NEXUS,,,,,,,,,,,,
85,PC WORLD,,,,,,,,,,,,
86,AMAZON,,,,,,,,,,,,
87,VARLINK,,,,,,,,,,,,
88,I D MANAGEMENT,,,,,,,,,,,,
89,YCR,,,,,,,,,,,,
90,FORPOS,,,,,,,,,,,,
91,MSD,,,,,,,,,,,,
