192,Vista Camera,3NOR3009,,92,328191,2,,11/12/1993 00:00:00,12,","
193,Epson,LX400,,92,0EQ7128302,5,,,12,
194,Vista,"Monitor B/W17"" 800TVL",,92,307023,2,,11/12/1993 00:00:00,12,
195,VCL,24 hr Video Recorder VC1200,,92,81200261 (VC1351),2,,11/12/1993 00:00:00,12,
196,Vista Camera,3NOR3009,,92,328195,2,,11/12/1993 00:00:00,12,
197,Vista Camera,3NOR3009,,92,328138,2,,11/12/1993 00:00:00,12,
198,Vista Camera,3NOR3009,,92,328072,2,,11/12/1993 00:00:00,12,
199,Sanyo,Platingam 286,,92,08010085,5,,,12,
200,Communication Boards,for Cash Registers,,92,7765/7788/7766/7712,5,,,12,
201,Communication Board,for Computer,,92,S3452,3,,,12,
202,Tillmaster,Stock system,,92,88851,5,,,12,
203,Norbain,Multiplexer,,92,2499,5,,02/01/1994 00:00:00,12,
204,VCL,B/W Camera,,92,A80811100G (VC1124),2,,09/22/1998 00:00:00,12,
205,VCL,B/W Camera,,92,A808111094G (VC1125),2,,09/22/1998 00:00:00,12,
206,VCL,500watt IR Lamp,,92,105841 (VC1127),2,,09/22/1998 00:00:00,12,
207,VCL,500 Watt IR Lamp,,92,106946 (VC1129),2,,09/22/1998 00:00:00,12,
208,VCL,500 watt IR Lamp,,92,106949 (VC1130),2,,09/22/1998 00:00:00,12,
209,Videcon,Concept B/W 12V Camera,,92,11030284 (VC1369),2,,07/01/1999 00:00:00,12,
210,Lamps,IR Lamps x 2,,92,,5,,11/10/1999 00:00:00,12,
211,Mertec,Base Unit 2130/TM01N,,92,991119024 (ST3580),3,,12/11/1999 00:00:00,12,
212,Mertec,AD1 VD-695 Monitor,,92,93602EL0344674 (ST3586),5,,12/12/1999 00:00:00,12,
213,Uniwell,Adaptor NA720,,92,80501570 (ST3184),5,,12/12/1999 00:00:00,12,
1,Uniwell,Sys 17 & Slip Print,,92,74078406,1,,,12,
2,Keypos,122,,92,90210264,1,,,12,
3,Sharp,Model 1921,,92,19000721,1,,,12,
4,Keypos,451,,92,81230105,1,,,12,
5,Casio,2122,,92,4412656,,,,12,
6,Geller,ET3412 Cash Register,,92,5012807  (ST2843),1,,04/21/1997 00:00:00,12,
7,American Video VSI,Cash Scan,,92,9704047 (vc697),5,,04/21/1997 00:00:00,12,
8,VC545BT Colour,Camera,,92,VC681  (VC681),2,,03/26/1997 00:00:00,12,
9,VC545BT Colour,Camera,,92,,2,,03/26/1997 00:00:00,12,
10,4 Way,Switcher,,92,VC687,2,,03/26/1997 00:00:00,12,
12,Sharp,2371,,92,69002536,1,,,12,
13,Sharp,2371,,92,69001776,1,,,12,
14,Sharp,2390 Microwave,,92,20301413,5,,06/19/1992 00:00:00,12,
15,Sharp,1772,,92,89002415,,,,12,
16,Uniwell,Sys 3,,92,62324802,,,,12,
17,Uniwell,K/P,,92,79008343,1,,,12,
18,Sharp,1910,,92,79011583,,,,12,
19,Sharp,1910,,92,79008443,,,,12,
20,"1/3"" Mono",Camera,,92,VC260,,,09/28/1995 00:00:00,12,
21,"1/3"" Mono",Camera,,92,VC261,,,09/28/1995 00:00:00,12,
22,"12"" Mono",Monitor,,92,S01 0113212,,,09/28/1995 00:00:00,12,
23,Uniwell,7000,,92,9667865,1,,06/08/2000 00:00:00,12,
24,Sharp,1910,,92,79000749,,,,12,
25,Sharp,1910,,92,79001719,1,,,12,
26,Sharp,1920,,92,79008774,,,,12,
27,Sharp,1772,,92,79000779,,,,12,
28,Keypos,122,,92,90210247,,,,12,
32,Sharp,1076,,92,69001130,,,,12,
33,Sharp,1017,,92,79002993,,,,12,
34,Sharp,1875,,92,69013249,,,,12,
